Detail results of the state of the art classifiers:


+-----------+----------------------+-----------------------+----------------------+----------------------+-----------------------+
| Algorithm |       Accuracy       |       Precision       |        Recall        |          F1          |    Execution Time     |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006430149078369141 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05370306968688965  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007101774215698242  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005991458892822266 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010333061218261719 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007167816162109375  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006618499755859375 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053498029708862305  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007117033004760742  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005991458892822266 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.001010894775390625  |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.0072019100189208984 |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007181167602539062 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05345010757446289  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007178783416748047  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006067752838134766 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010418891906738281 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007206916809082031  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006549358367919922 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05335497856140137  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.0071790218353271484 |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006389617919921875 |
